gene	n_psych_associations	psych_mapped_traits	disease_trait_labels	efo_uris	pubmed_ids	study_accessions
LINC01968 - XXYLT1	1	attention deficit hyperactivity disorder	Attention deficit hyperactivity disorder (time to onset)	http://www.ebi.ac.uk/efo/EFO_0003888	18937294	GCST000280
LINC01975	1	schizophrenia, type 2 diabetes mellitus	Type 2 diabetes or schizophrenia (pleiotropy)	http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0005148	36329495	GCST90244709
LINC01977 - CBX4	1	response to selective serotonin reuptake inhibitor, major depressive disorder	Response to serotonin reuptake inhibitors in major depressive disorder (plasma drug and metabolite levels)	http://www.ebi.ac.uk/efo/EFO_0005658, http://purl.obolibrary.org/obo/MONDO_0002009	24528284	GCST002549
LINC01980	1	depressive symptom measurement, response to selective serotonin reuptake inhibitor	SSRI response to total HAM-D-21 score in major depressive disorder	http://www.ebi.ac.uk/efo/EFO_0007006, http://www.ebi.ac.uk/efo/EFO_0005658	36658263	GCST90270301
LINC01982	2	attention deficit hyperactivity disorder, autism spectrum disorder, intelligence	Attention deficit hyperactivity disorder or autism spectrum disorder or intelligence (pleiotropy)	http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0003756, http://www.ebi.ac.uk/efo/EFO_0004337	35764056	GCST90134330
LINC01987 - LINC01973	2	nicotine dependence symptom count; schizophrenia	Nicotine dependence symptom count; Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0009262	29532581; 35396580	GCST006301; GCST90128471
LINC01990 - BBX	5	major depressive disorder, multiple sclerosis; mood disorder, major depressive disorder; neurotic disorder; schizophrenia	Depressed affect; Depression in multiple sclerosis; Neuroticism; Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0002009, http://purl.obolibrary.org/obo/MONDO_0005301; http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0004247, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0004257	29942085; 32231276; 33296963; 35396580	GCST006475; GCST010017; GCST011680; GCST90128471
LINC01991	1	schizophrenia, type 2 diabetes mellitus	Type 2 diabetes or schizophrenia (pleiotropy)	http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0005148	36329495	GCST90244709
LINC01991 - LPP-AS2	2	obsessive-compulsive symptom measurement; schizophrenia, type 2 diabetes mellitus	Aggressive dimension in obsessive compulsive disorder; Type 2 diabetes and schyzophrenia	http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0005148; http://www.ebi.ac.uk/efo/EFO_0007802	32424139; 36738649	GCST013218; GCST90624670
LINC02006	1	mental or behavioural disorder	Transient mental disorders due to conditions classified elsewhere (PheCode 291.1)	http://www.ebi.ac.uk/efo/EFO_0000677	39024449	GCST90480738
LINC02008	2	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	35396580	GCST90128471
LINC02016 - LINC01471	1	schizophrenia, intelligence, self reported educational attainment	Cognitive ability, years of educational attainment or schizophrenia (pleiotropy)	http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0004337, http://www.ebi.ac.uk/efo/EFO_0004784	31374203	GCST008595
LINC02025 - CADM2	1	substance-related disorder	Substance use disorder	http://purl.obolibrary.org/obo/MONDO_0002494	41057643	GCST90704953
LINC02027 - GBE1	6	social inhibition quality, attention deficit hyperactivity disorder, substance abuse; substance-related disorder	Externalizing behaviour (multivariate analysis); Substance use disorder	http://purl.obolibrary.org/obo/MONDO_0002494; http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491	34446935; 41057643	GCST90061435; GCST90704949; GCST90704952; GCST90704953; GCST90704954
LINC02033	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	21926974	GCST001242
LINC02033 - TRANK1	3	bipolar disorder; schizophrenia	Bipolar disorder; Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0004985; http://purl.obolibrary.org/obo/MONDO_0005090	21926972; 23974872; 24618891	GCST001241; GCST002149; GCST002385
LINC02038 - LINC02026	1	major depressive disorder	Major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009	23377640	GCST001850
LINC02040	2	depressive symptom measurement; mood disorder, major depressive disorder	Depressed affect; Depressive symptoms	http://www.ebi.ac.uk/efo/EFO_0004247, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0007006	29942085; 30643256	GCST006475; GCST007340
LINC02046 - RPL38P1	1	obsessive-compulsive symptom measurement	Obsessive-compulsive symptoms	http://www.ebi.ac.uk/efo/EFO_0007802	38548983	GCST90429008
LINC02049	1	response to antipsychotic drug	Response to lurasidone in schizophrenia	http://purl.obolibrary.org/obo/GO_0097332	29730043	GCST006248
LINC02050	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	26198764	GCST003048
LINC02053	2	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	35396580; 39753749	GCST90128471; GCST90503210
LINC02054 - TEDDM3P	2	alcohol dependence; triglyceride measurement, response to antipsychotic drug	Alcoholism (alcohol use disorder factor score); Triglycerides level in antipsychotic-treated schizophrenia (6-week)	http://purl.obolibrary.org/obo/MONDO_0007079; http://www.ebi.ac.uk/efo/EFO_0004530, http://purl.obolibrary.org/obo/GO_0097332	21529783; 38336841	GCST001053; GCST90454535
LINC02055	1	schizophrenia, intelligence, self reported educational attainment	Cognitive ability, years of educational attainment or schizophrenia (pleiotropy)	http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0004337, http://www.ebi.ac.uk/efo/EFO_0004784	31374203	GCST008595
