gene	n_psych_associations	psych_mapped_traits	disease_trait_labels	efo_uris	pubmed_ids	study_accessions
LINC01721 - GAPDHP53	1	binge eating	Binge eating behaviour in bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0005924	29391396	GCST005387
LINC01724	1	mental or behavioural disorder	Bipolar disorder and schizophrenia	http://www.ebi.ac.uk/efo/EFO_0000677	20889312	GCST000821
LINC01724 - KCNT2	2	LDL cholesterol change measurement, response to antipsychotic drug; major depressive disorder	Antipsychotic-induced LDL-cholesterol change in schizophrenia (6-week); Major depressive disorder in trauma exposed individuals	http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0007804, http://purl.obolibrary.org/obo/GO_0097332	31969693; 38336841	GCST009980; GCST90454532
LINC01725	3	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	26198764; 33169155; 35396580	GCST003048; GCST011768; GCST90128471
LINC01739 - LINC00466	1	triglyceride measurement, response to selective serotonin reuptake inhibitor	Triglyceride levels x SSRI defined daily dose interaction in schizophrenia or bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0004530, http://www.ebi.ac.uk/efo/EFO_0005658	33824429	GCST012322
LINC01741 - SEC16B	10	attention deficit hyperactivity disorder, obesity; schizophrenia; schizophrenia, schizoaffective disorder	Obesity class II and attention deficit hyperactivity disorder; Schizophrenia; Schizophrenia or schizoaffective disorder	http://purl.obolibrary.org/obo/MONDO_0005090; http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0005411; http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0001073	23894747; 26198764; 28991256; 30285260; 31591465; 35396580; 36137488	GCST001851; GCST003048; GCST004946; GCST007201; GCST009283; GCST90128471; GCST90624545
LINC01742 - HSPD1P19	1	depressive symptom measurement, social risk factor	PHQ score x Polysocial risk score (PsRS) interaction	http://www.ebi.ac.uk/efo/EFO_0007006, http://www.ebi.ac.uk/efo/EFO_0022923	38063329	GCST90451692
LINC01744 - MAP10	3	oppositional defiant disorder measurement	Oppositional defiant disorder dimensions in attention-deficit hyperactivity disorder	http://www.ebi.ac.uk/efo/EFO_0007679	27021288	GCST003472
LINC01748	12	attention deficit hyperactivity disorder, bipolar disorder; bipolar I disorder; bipolar disorder; bipolar disorder, ulcerative colitis; nicotine dependence symptom count; schizophrenia	Bipolar I disorder; Bipolar disorder; Bipolar disorder (MTAG); Bipolar disorder or ulcerative colitis (MTAG); Bipolar disorder vs ADHD (ordinary least squares (OLS)); Nicotine dependence symptom count; Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0004985; http://purl.obolibrary.org/obo/MONDO_0004985, http://www.ebi.ac.uk/efo/EFO_0000729; http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0004985; http://www.ebi.ac.uk/efo/EFO_0009262; http://www.ebi.ac.uk/efo/EFO_0009963	19416921; 21254220; 21738484; 25555482; 31043756; 33686288; 34002096; 34159505; 35396580; 38154582; 39753749	GCST000387; GCST000961; GCST001135; GCST008103; GCST008115; GCST010105; GCST012465; GCST90016604; GCST90020094; GCST90128471; GCST90454587; GCST90503210
LINC01752 - LINC02871	2	mean arterial pressure, major depressive disorder; systolic blood pressure, major depressive disorder	Mean arterial pressure x depressive symptoms interaction (2df test); Systolic blood pressure x depressive symptoms interaction (2df test)	http://www.ebi.ac.uk/efo/EFO_0006335, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0006340, http://purl.obolibrary.org/obo/MONDO_0002009	34734193	GCST90093264; GCST90093273
LINC01755	1	anxiety disorder	Anxiety disorders (PheCode 300)	http://www.ebi.ac.uk/efo/EFO_0006788	40465716	GCST90652082
LINC01756 - LINC01648	24	anxiety measurement, triglyceride measurement; attention deficit hyperactivity disorder; attention deficit hyperactivity disorder, bipolar disorder, autism spectrum disorder, schizophrenia, major depressive disorder; autism spectrum disorder, schizophrenia; bipolar disorder; mental or behavioural disorder; obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, bipolar disorder, autism spectrum disorder, schizophrenia, anorexia nervosa, major depressive disorder; schizophrenia; schizophrenia, intelligence, self reported educational attainment; schizophrenia, major depressive disorder; schizophrenia, sex interaction measurement	Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy); Attention deficit hyperactivity disorder (persistent); Autism spectrum disorder or schizophrenia; Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined); Bipolar disorder (MTAG); Bipolar disorder and schizophrenia; Broad depression or schizophrenia; Cognitive ability, years of educational attainment or schizophrenia (pleiotropy); Schizophrenia; Schizophrenia (MTAG); Schizophrenia x sex interaction; Triglycerides x anxiety interaction (2df test)	http://purl.obolibrary.org/obo/MONDO_0004985; http://purl.obolibrary.org/obo/MONDO_0005090; http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0002009; http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0004337, http://www.ebi.ac.uk/efo/EFO_0004784; http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0008343; http://www.ebi.ac.uk/efo/EFO_0000677; http://www.ebi.ac.uk/efo/EFO_0003756, http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0003888; http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0004985, http://www.ebi.ac.uk/efo/EFO_0003756, http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0004242, http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0004895, http://purl.obolibrary.org/obo/MONDO_0004985, http://www.ebi.ac.uk/efo/EFO_0003756, http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0005351, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0009863, http://www.ebi.ac.uk/efo/EFO_0004530	20889312; 21926974; 23453885; 25056061; 26198764; 28540026; 28991256; 29483656; 30285260; 30626913; 31268507; 31374203; 31740837; 31835028; 32279069; 32606422; 33479212; 34099189; 34159505; 35396580; 39753749; 40537477	GCST000821; GCST001242; GCST001877; GCST002539; GCST003048; GCST004521; GCST004946; GCST006803; GCST007201; GCST007257; GCST008459; GCST008595; GCST009337; GCST009600; GCST010290; GCST010640; GCST012089; GCST012310; GCST90020094; GCST90020095; GCST90128471; GCST90503210; GCST90570707
LINC01762	1	depressive symptom measurement, stressful life event measurement	Depressive symptoms x dependent stressful life events interaction (1df test)	http://www.ebi.ac.uk/efo/EFO_0007006, http://www.ebi.ac.uk/efo/EFO_0007781	30718454	GCST007410
LINC01765	1	social inhibition quality, attention deficit hyperactivity disorder, substance abuse	Externalizing behaviour (multivariate analysis)	http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491	34446935	GCST90061435
LINC01765 - NGF-AS1	1	alcohol dependence	Alcoholism (heaviness of drinking)	http://purl.obolibrary.org/obo/MONDO_0007079	21529783	GCST001052
LINC01776	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	26198764	GCST003048
LINC01776 - SNX7-DT	2	autism spectrum disorder; triglyceride measurement, response to selective serotonin reuptake inhibitor	Autism spectrum disorder; Triglyceride levels x SSRI defined daily dose interaction in schizophrenia or bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0003756; http://www.ebi.ac.uk/efo/EFO_0004530, http://www.ebi.ac.uk/efo/EFO_0005658	30804558; 33824429	GCST007556; GCST012322
LINC01777 - LINC01646	2	anxiety disorder	Anxiety disorder	http://www.ebi.ac.uk/efo/EFO_0006788	25390645	GCST002696
LINC01781 - MTND2P30	1	schizophrenia, sex interaction measurement	Schizophrenia x sex interaction	http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0008343	34099189	GCST012311
LINC01782 - RNA5SP472	3	schizophrenia; social inhibition quality, attention deficit hyperactivity disorder, substance abuse	Externalizing behaviour (multivariate analysis); Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090; http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491	34446935; 35396580; 39753749	GCST90061435; GCST90128471; GCST90503210
LINC01787	2	attempted suicide	Suicide attempts in major depressive disorder or bipolar disorder or schizophrenia	http://www.ebi.ac.uk/efo/EFO_0004321	31164008	GCST008123
LINC01787 - UBE2WP1	3	attention deficit hyperactivity disorder, schizophrenia; attention deficit hyperactivity disorder, schizophrenia, anorexia nervosa, obesity; social inhibition quality, attention deficit hyperactivity disorder, substance abuse	Externalizing behaviour (multivariate analysis); Obesity class II and Attention deficit hyperactivity disorder or Anorexia nervosa or Schizophrenia; Schizophrenia vs ADHD (ordinary least squares (OLS))	http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491; http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0005351, http://www.ebi.ac.uk/efo/EFO_0001073	33686288; 34446935; 36137488	GCST90016618; GCST90061435; GCST90624562
LINC01789 - LINC01885	1	binge eating, bipolar disorder	Binge eating behaviour and bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0005924, http://purl.obolibrary.org/obo/MONDO_0004985	29391396	GCST005386
LINC01790 - RNU6-169P	2	attention deficit hyperactivity disorder, bipolar disorder; major depressive disorder	Bipolar disorder or attention deficit hyperactivity disorder; Depression	http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0004985	27890468; 37464041	GCST004001; GCST90319327
LINC01791	1	social inhibition quality, attention deficit hyperactivity disorder, substance abuse	Externalizing behaviour (multivariate analysis)	http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491	34446935	GCST90061435
LINC01795 - LINC01122	2	depressive symptom measurement; schizophrenia	Depressive symptoms; Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0007006	30643256; 35396580	GCST007340; GCST90128471
LINC01806	1	substance-related disorder	Substance use disorder	http://purl.obolibrary.org/obo/MONDO_0002494	41057643	GCST90704949
LINC01810 - SILC1	2	nicotine dependence symptom count	Nicotine dependence symptom count	http://www.ebi.ac.uk/efo/EFO_0009262	25555482	GCST010105
LINC01811	3	alcohol dependence, major depressive disorder; schizophrenia; social inhibition quality, attention deficit hyperactivity disorder, substance abuse	Externalizing behaviour (multivariate analysis); Major depression and alcohol dependence; Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090; http://purl.obolibrary.org/obo/MONDO_0007079, http://purl.obolibrary.org/obo/MONDO_0002009; http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491	29071344; 34446935; 35396580	GCST005022; GCST90061435; GCST90128471
LINC01812 - FBXL12P1	1	schizophrenia, sex interaction measurement	Schizophrenia x sex interaction	http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0008343	34099189	GCST012311
LINC01818	2	alcohol dependence	Alcoholism (alcohol dependence factor score); Alcoholism (alcohol use disorder factor score)	http://purl.obolibrary.org/obo/MONDO_0007079	21529783	GCST001053; GCST001054
LINC01822 - RN7SL117P	4	major depressive disorder; social inhibition quality, attention deficit hyperactivity disorder, substance abuse; substance-related disorder	Externalizing behaviour (multivariate analysis); Major depressive disorder (broad); Substance use disorder	http://purl.obolibrary.org/obo/MONDO_0002009; http://purl.obolibrary.org/obo/MONDO_0002494; http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491	34446935; 38177345; 41057643	GCST90061435; GCST90328131; GCST90704952; GCST90704954
LINC01823 - LINC01826	7	Anxiety; anxiety measurement; attention deficit hyperactivity disorder; bipolar disorder, schizophrenia, sex interaction measurement, major depressive disorder; schizophrenia; sex interaction measurement, major depressive disorder	Anxiety; Anxiety score; Attention deficit hyperactivity disorder; Major depressive disorder x sex interaction; Schizophrenia; Schizophrenia, bipolar disorder or major depressive disorder x sex interaction	http://purl.obolibrary.org/obo/HP_0000739; http://purl.obolibrary.org/obo/MONDO_0004985, http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0008343, http://purl.obolibrary.org/obo/MONDO_0002009; http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0003888; http://www.ebi.ac.uk/efo/EFO_0008343, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0009863	18821565; 26198764; 34099189; 35396580; 37146008; 38328521	GCST000281; GCST003048; GCST012298; GCST012305; GCST90128471; GCST90281296; GCST90319491
LINC01826 - ELOAP1	2	aggressive behavior quality, ADHD symptom measurement; alcohol dependence	Alcohol dependence; Disruptive behavior (multivariate analysis)	http://purl.obolibrary.org/obo/MONDO_0007079; http://purl.obolibrary.org/obo/OBA_1000376, http://www.ebi.ac.uk/efo/EFO_0007860	33290381; 36324656	GCST011955; GCST90239692
